,Date,Nasdaq,Res,SqRes,CondV,Spline,st
"1-1",1984-10-12,0.61112433017278533,0,0,0.1060888416258547,0.32571282078827463,0.32571282078827463
"2-1",1984-10-15,0.60741227449607749,0.41066454525706148,0.1686453687311891,0.1064624584641124,0.32602492061816718,0.32654699604635057
"3-1",1984-10-16,-0.16161619679433414,-0.35761073242341668,0.12788543594441251,0.13329964856132737,0.32633713296401545,0.40847220587681654
"4-1",1984-10-17,-0.080906153280668747,-0.12086118388093776,0.01460742576910185,0.14748165849676814,0.32664945757646607,0.4514982501149381
"5-1",1984-10-18,1.086748469691301,1.030416990479716,1.0617591742692751,0.14055756434933561,0.3269618942057344,0.42988974201651919
"6-1",1984-10-19,0.55888369025662854,0.26562957915935492,0.070559073324375998,0.29998439389627135,0.32727444260160443,0.91661417711570703
"7-1",1984-10-22,-0.23913921320755094,-0.42528707014115369,0.18086909202924659,0.26629128035270844,0.32758710251342932,0.81288694917954507
"8-1",1984-10-23,0,-0.024225244823728065,0.00058686248676956341,0.25784238155540889,0.32789987369013124,0.78634486391743053
"9-1",1984-10-24,0.079776629679795263,0.0070289102599417896,4.9405579442314956e-005,0.22303368744344804,0.32821275588020188,0.67953997353124096
"10-1",1984-10-25,-0.720291229405845,-0.80922600336636352,0.65484672452429782,0.19629431120688248,0.32852574883170216,0.59750053657876456
"11-1",1984-10-26,-0.64464365063194862,-0.5712408813390899,0.32631614451306018,0.2788189676955693,0.32883885229226278,0.8478893711980322
"12-1",1984-10-29,-0.36444664756434264,-0.30639312890286841,0.093876749438889739,0.29041792934416805,0.3291520660090842,0.88232145362305847
"13-1",1984-10-30,0.40485885260004295,0.40605907739599617,0.16488397433568761,0.26277091301735134,0.32946538972893696,0.79756757829264679
"14-1",1984-10-31,-0.20222453807674512,-0.35712002877513088,0.1275347149523503,0.25277404418693922,0.3297788231981616,0.76649568257768086
"15-1",1984-11-01,0.40404095370050186,0.37232554713276839,0.13862631304771533,0.23926134713990668,0.33009236616266907,0.7248315067728619
"16-1",1984-11-02,0,-0.15472953515289881,0.023941229048632148,0.23067337007223188,0.33040601836794081,0.69815123589956385
"17-1",1984-11-05,0.16116038943412292,0.088412670014269445,0.0078168002190520999,0.2060762354111047,0.33071977955902881,0.62311433469712685
"18-1",1984-11-06,0.84185704655954652,0.73640912378395174,0.54229839759224752,0.18471189291424134,0.33103364948055608,0.55798524773564073
"19-1",1984-11-07,-0.27983228334420573,-0.52339676931334767,0.27394417812764965,0.25243119164065808,0.33134762787671646,0.76183189618179314
"20-1",1984-11-08,-0.12016824999037112,-0.13613667889729483,0.018533195341185159,0.26214803779787182,0.33166171449127524,0.79040789558714031
